matrix,family,m,n,w_fro,direction,eta,step_fro,kl,kl_per_step2
model.layers.15.self_attn.k_proj.weight,self_attn,512,1024,8.305766105651855,spec_rand,0.0001,0.0008305766105651856,-1.4121923486385377e-11,-2.0470783260591046e-05
model.layers.15.self_attn.k_proj.weight,self_attn,512,1024,8.305766105651855,spec_rand,0.0003,0.0024917298316955564,3.978326219097938e-09,0.0006407645676249766
model.layers.15.self_attn.k_proj.weight,self_attn,512,1024,8.305766105651855,spec_rand,0.001,0.008305766105651856,4.6763508958807696e-08,0.0006778720032886151
model.layers.15.self_attn.k_proj.weight,self_attn,512,1024,8.305766105651855,spec_rand,0.003,0.024917298316955567,4.540234623243529e-07,0.000731267702812525
model.layers.15.self_attn.k_proj.weight,self_attn,512,1024,8.305766105651855,spec_rand,0.01,0.08305766105651856,5.10228890523563e-06,0.0007396149002838935
model.layers.15.self_attn.k_proj.weight,self_attn,512,1024,8.305766105651855,spec_rand,0.03,0.24917298316955566,4.683151830666275e-05,0.0007542864995569434
model.layers.15.self_attn.k_proj.weight,self_attn,512,1024,8.305766105651855,spec_scale,0.0001,0.0008305766105651856,-2.4658142069306766e-09,-0.0035743819345592644
model.layers.15.self_attn.k_proj.weight,self_attn,512,1024,8.305766105651855,spec_scale,0.0003,0.0024917298316955564,-2.5797236934677938e-09,-0.00041550024960286075
model.layers.15.self_attn.k_proj.weight,self_attn,512,1024,8.305766105651855,spec_scale,0.001,0.008305766105651856,-1.951705310780973e-09,-2.829142676212592e-05
model.layers.15.self_attn.k_proj.weight,self_attn,512,1024,8.305766105651855,spec_scale,0.003,0.024917298316955567,-1.7500799938381974e-09,-2.8187463490993516e-06
model.layers.15.self_attn.k_proj.weight,self_attn,512,1024,8.305766105651855,spec_scale,0.01,0.08305766105651856,-1.1953776134120946e-09,-1.732789167305208e-07
model.layers.15.self_attn.k_proj.weight,self_attn,512,1024,8.305766105651855,spec_scale,0.03,0.24917298316955566,-1.215623166509329e-09,-1.9579295658159285e-08
model.layers.15.self_attn.k_proj.weight,self_attn,512,1024,8.305766105651855,frame_rot,0.0001,0.0008305766105651856,-3.4614501504253467e-10,-0.0005017630626947575
model.layers.15.self_attn.k_proj.weight,self_attn,512,1024,8.305766105651855,frame_rot,0.0003,0.0024917298316955564,1.850998422467453e-09,0.00029812894632753423
model.layers.15.self_attn.k_proj.weight,self_attn,512,1024,8.305766105651855,frame_rot,0.001,0.008305766105651856,4.0153841015906944e-08,0.0005820599278202538
model.layers.15.self_attn.k_proj.weight,self_attn,512,1024,8.305766105651855,frame_rot,0.003,0.024917298316955567,3.916752444072449e-07,0.0006308472578925958
model.layers.15.self_attn.k_proj.weight,self_attn,512,1024,8.305766105651855,frame_rot,0.01,0.08305766105651856,4.413601723909391e-06,0.0006397845475924323
model.layers.15.self_attn.k_proj.weight,self_attn,512,1024,8.305766105651855,frame_rot,0.03,0.24917298316955566,3.993444189037858e-05,0.000643199526182527
model.layers.15.self_attn.k_proj.weight,self_attn,512,1024,8.305766105651855,gauss,0.0001,0.0008305766105651856,-3.121378288777565e-10,-0.0004524671053874622
model.layers.15.self_attn.k_proj.weight,self_attn,512,1024,8.305766105651855,gauss,0.0003,0.0024917298316955564,4.382800286007689e-09,0.000705910721139182
model.layers.15.self_attn.k_proj.weight,self_attn,512,1024,8.305766105651855,gauss,0.001,0.008305766105651856,4.690732118394462e-08,0.0006799566689461224
model.layers.15.self_attn.k_proj.weight,self_attn,512,1024,8.305766105651855,gauss,0.003,0.024917298316955567,4.294912012105844e-07,0.000691755096707058
model.layers.15.self_attn.k_proj.weight,self_attn,512,1024,8.305766105651855,gauss,0.01,0.08305766105651856,4.803803324994174e-06,0.0006963471851923527
model.layers.15.self_attn.k_proj.weight,self_attn,512,1024,8.305766105651855,gauss,0.03,0.24917298316955566,4.3454934087964286e-05,0.0006999019315806595
model.layers.15.self_attn.v_proj.weight,self_attn,512,1024,11.979118347167969,spec_rand,0.0001,0.0011979118347167968,-8.083253163707011e-10,-0.0005632957439142565
model.layers.15.self_attn.v_proj.weight,self_attn,512,1024,11.979118347167969,spec_rand,0.0003,0.0035937355041503905,6.1520721363910774e-09,0.00047635332245273584
model.layers.15.self_attn.v_proj.weight,self_attn,512,1024,11.979118347167969,spec_rand,0.001,0.011979118347167968,7.473561756113893e-08,0.0005208083235597523
model.layers.15.self_attn.v_proj.weight,self_attn,512,1024,11.979118347167969,spec_rand,0.003,0.03593735504150391,6.945329362032589e-07,0.0005377750201533808
model.layers.15.self_attn.v_proj.weight,self_attn,512,1024,11.979118347167969,spec_rand,0.01,0.11979118347167969,7.750007357422765e-06,0.0005400729225383262
model.layers.15.self_attn.v_proj.weight,self_attn,512,1024,11.979118347167969,spec_rand,0.03,0.35937355041503904,6.987472036411224e-05,0.0005410381163122439
model.layers.15.self_attn.v_proj.weight,self_attn,512,1024,11.979118347167969,spec_scale,0.0001,0.0011979118347167968,-8.226933382429169e-10,-0.0005733083532006078
model.layers.15.self_attn.v_proj.weight,self_attn,512,1024,11.979118347167969,spec_scale,0.0003,0.0035937355041503905,5.45838793137766e-09,0.00042264153746951103
model.layers.15.self_attn.v_proj.weight,self_attn,512,1024,11.979118347167969,spec_scale,0.001,0.011979118347167968,7.453720466579344e-08,0.0005194256483271166
model.layers.15.self_attn.v_proj.weight,self_attn,512,1024,11.979118347167969,spec_scale,0.003,0.03593735504150391,6.961720740122894e-07,0.0005390442002344641
model.layers.15.self_attn.v_proj.weight,self_attn,512,1024,11.979118347167969,spec_scale,0.01,0.11979118347167969,7.6831588240078e-06,0.0005354144646628968
model.layers.15.self_attn.v_proj.weight,self_attn,512,1024,11.979118347167969,spec_scale,0.03,0.35937355041503904,6.750512911767022e-05,0.0005226904338066918
model.layers.15.self_attn.v_proj.weight,self_attn,512,1024,11.979118347167969,frame_rot,0.0001,0.0011979118347167968,-3.224592137615305e-11,-2.247113866399142e-05
model.layers.15.self_attn.v_proj.weight,self_attn,512,1024,11.979118347167969,frame_rot,0.0003,0.0035937355041503905,7.292449575241727e-09,0.0005646524466833098
model.layers.15.self_attn.v_proj.weight,self_attn,512,1024,11.979118347167969,frame_rot,0.001,0.011979118347167968,7.834868079463125e-08,0.0005459865915256407
model.layers.15.self_attn.v_proj.weight,self_attn,512,1024,11.979118347167969,frame_rot,0.003,0.03593735504150391,7.210473697124565e-07,0.0005583050760679519
model.layers.15.self_attn.v_proj.weight,self_attn,512,1024,11.979118347167969,frame_rot,0.01,0.11979118347167969,8.049383526452828e-06,0.0005609354785450036
model.layers.15.self_attn.v_proj.weight,self_attn,512,1024,11.979118347167969,frame_rot,0.03,0.35937355041503904,7.240278316607373e-05,0.0005606128398913138
model.layers.15.self_attn.v_proj.weight,self_attn,512,1024,11.979118347167969,gauss,0.0001,0.0011979118347167968,-3.0911004055812854e-10,-0.00021540878000622307
model.layers.15.self_attn.v_proj.weight,self_attn,512,1024,11.979118347167969,gauss,0.0003,0.0035937355041503905,8.550454016637487e-09,0.0006620593986880538
model.layers.15.self_attn.v_proj.weight,self_attn,512,1024,11.979118347167969,gauss,0.001,0.011979118347167968,1.1600711270898882e-07,0.0008084160118373279
model.layers.15.self_attn.v_proj.weight,self_attn,512,1024,11.979118347167969,gauss,0.003,0.03593735504150391,1.0434310353287257e-06,0.0008079258978271843
model.layers.15.self_attn.v_proj.weight,self_attn,512,1024,11.979118347167969,gauss,0.01,0.11979118347167969,1.1625575104531695e-05,0.0008101486919079756
model.layers.15.self_attn.v_proj.weight,self_attn,512,1024,11.979118347167969,gauss,0.03,0.35937355041503904,0.00010507141939760262,0.0008135652283530242
model.layers.15.self_attn.o_proj.weight,self_attn,1024,2048,20.035621643066406,spec_rand,0.0001,0.0020035621643066407,1.8003592425722599e-09,0.0004484907900324146
model.layers.15.self_attn.o_proj.weight,self_attn,1024,2048,20.035621643066406,spec_rand,0.0003,0.006010686492919921,1.2288929890395901e-08,0.0003401464271296154
