matrix,family,m,n,w_fro,direction,eta,step_fro,kl,kl_per_step2
model.layers.1.mlp.gate_proj.weight,mlp,3584,1024,25.48297691345215,spec_rand,0.001,0.025482976913452148,0.000426349645731721,0.6565466427381216
model.layers.1.mlp.gate_proj.weight,mlp,3584,1024,25.48297691345215,spec_rand,0.003,0.07644893074035644,0.00040008297106324626,0.06845532484584091
model.layers.1.mlp.gate_proj.weight,mlp,3584,1024,25.48297691345215,spec_rand,0.01,0.2548297691345215,0.0004619362185367546,0.007113473095983033
model.layers.1.mlp.gate_proj.weight,mlp,3584,1024,25.48297691345215,spec_rand,0.03,0.7644893074035645,0.0006395935442675987,0.001094362594983323
model.layers.1.mlp.gate_proj.weight,mlp,3584,1024,25.48297691345215,spec_scale,0.001,0.025482976913452148,6.858133507609662e-06,0.010561013888362041
model.layers.1.mlp.gate_proj.weight,mlp,3584,1024,25.48297691345215,spec_scale,0.003,0.07644893074035644,0.0004160178012991792,0.07118181924590294
model.layers.1.mlp.gate_proj.weight,mlp,3584,1024,25.48297691345215,spec_scale,0.01,0.2548297691345215,0.00044673749406310277,0.006879424079478001
model.layers.1.mlp.gate_proj.weight,mlp,3584,1024,25.48297691345215,spec_scale,0.03,0.7644893074035645,0.0005709853604521329,0.0009769720572733733
model.layers.1.mlp.gate_proj.weight,mlp,3584,1024,25.48297691345215,frame_rot,0.001,0.025482976913452148,0.00043638653883474113,0.672002709223177
model.layers.1.mlp.gate_proj.weight,mlp,3584,1024,25.48297691345215,frame_rot,0.003,0.07644893074035644,0.00043053936153136666,0.07366649916197388
model.layers.1.mlp.gate_proj.weight,mlp,3584,1024,25.48297691345215,frame_rot,0.01,0.2548297691345215,0.00044204350088941657,0.006807140086983292
model.layers.1.mlp.gate_proj.weight,mlp,3584,1024,25.48297691345215,frame_rot,0.03,0.7644893074035645,0.0005895397950227967,0.0010087192181807768
model.layers.1.mlp.gate_proj.weight,mlp,3584,1024,25.48297691345215,gauss,0.001,0.025482976913452148,0.0003962735989308034,0.6102317747614225
model.layers.1.mlp.gate_proj.weight,mlp,3584,1024,25.48297691345215,gauss,0.003,0.07644893074035644,0.00041039362514340904,0.0702195068417776
model.layers.1.mlp.gate_proj.weight,mlp,3584,1024,25.48297691345215,gauss,0.01,0.2548297691345215,0.00042333717745298484,0.006519076663614323
model.layers.1.mlp.gate_proj.weight,mlp,3584,1024,25.48297691345215,gauss,0.03,0.7644893074035645,0.0005583995433256592,0.0009554373691672178
model.layers.1.mlp.up_proj.weight,mlp,3584,1024,16.392898559570312,spec_rand,0.001,0.016392898559570313,0.0004041921765669766,1.5040989230167034
model.layers.1.mlp.up_proj.weight,mlp,3584,1024,16.392898559570312,spec_rand,0.003,0.049178695678710936,0.00043420817181050305,0.17953287279561325
