matrix,m,n,kl_off_full,kl_off_without,share_off,kl_task_full,kl_task_without,share_task
model.layers.9.linear_attn.in_proj_b.weight,16,1024,0.005858842898928863,0.005858329539934838,8.762122536498662e-05,0.5057602868779256,0.5056364640324429,0.00024482516459944925
model.layers.9.linear_attn.in_proj_a.weight,16,1024,0.005858842898928863,0.0058586296308633,3.640105550573036e-05,0.5057602868779256,0.5057473440897903,2.5590756077886745e-05
model.layers.9.mlp.gate_proj.weight,3584,1024,0.005858842898928863,0.0058639057265166055,-0.0008641343820070535,0.5057602868779256,0.5035917878971792,0.004287602322698536
model.layers.9.mlp.up_proj.weight,3584,1024,0.005858842898928863,0.005846407005316991,0.002122585265794674,0.5057602868779256,0.50207413249981,0.007288342864700481
model.layers.9.mlp.down_proj.weight,1024,3584,0.005858842898928863,0.005832139917250792,0.00455772276859534,0.5057602868779256,0.49974227349247363,0.011898944107694542
model.layers.10.linear_attn.out_proj.weight,1024,2048,0.005858842898928863,0.005827118793461385,0.005414739055945361,0.5057602868779256,0.5036123657987012,0.004246915257984485
model.layers.10.linear_attn.in_proj_qkv.weight,6144,1024,0.005858842898928863,0.005861758684198261,-0.0004976725472416454,0.5057602868779256,0.5050521098988171,0.0014002225905875854
model.layers.10.linear_attn.in_proj_z.weight,2048,1024,0.005858842898928863,0.0058490231295851725,0.0016760595074986062,0.5057602868779256,0.5049261163353409,0.0016493397449888203
model.layers.10.linear_attn.in_proj_b.weight,16,1024,0.005858842898928863,0.005858861631266309,-3.19727594155772e-06,0.5057602868779256,0.5057388618888523,4.236194424356299e-05
model.layers.10.linear_attn.in_proj_a.weight,16,1024,0.005858842898928863,0.005857916767859001,0.00015807405759793447,0.5057602868779256,0.5058470085501376,-0.0001714679354272164
model.layers.10.mlp.gate_proj.weight,3584,1024,0.005858842898928863,0.005815021997742005,0.007479446358745867,0.5057602868779256,0.5031381186431331,0.005184606824271021
model.layers.10.mlp.up_proj.weight,3584,1024,0.005858842898928863,0.0058462037425856764,0.0021572785891729174,0.5057602868779256,0.5025885574102432,0.006271210986654507
model.layers.10.mlp.down_proj.weight,1024,3584,0.005858842898928863,0.005846440846309984,0.00211680921178925,0.5057602868779256,0.49943701842163574,0.01250250092850036
model.layers.11.self_attn.q_proj.weight,4096,1024,0.005858842898928863,0.0058504179290639535,0.001437992110430164,0.5057602868779256,0.5047784816859464,0.0019412461149133087
model.layers.11.self_attn.k_proj.weight,512,1024,0.005858842898928863,0.005863047380883767,-0.0007176300896671872,0.5057602868779256,0.5051271973205136,0.0012517581428153068
model.layers.11.self_attn.v_proj.weight,512,1024,0.005858842898928863,0.00582885801704751,0.00511788460599194,0.5057602868779256,0.5038622846901688,0.0037527703083870545
model.layers.11.self_attn.o_proj.weight,1024,2048,0.005858842898928863,0.005760303603847437,0.016818900383801294,0.5057602868779256,0.5008793562027298,0.00965067997988911
model.layers.11.mlp.gate_proj.weight,3584,1024,0.005858842898928863,0.00584217498663059,0.0028449153844559705,0.5057602868779256,0.5041515008728272,0.003180925918540356
model.layers.11.mlp.up_proj.weight,3584,1024,0.005858842898928863,0.005836756406059734,0.0037697704564099155,0.5057602868779256,0.5023749768966295,0.006693506922407444
